name,code,phase,section,subsection,unit,price
"Демонтаж НЕ приклеенного линолеума, ламината, паркетной доски, старого паркета",0-45,Этап №0,Демонтаж,Полы,м2,81.00
"Демонтаж старых дощатых полов с лагами, с наполнителем",0-46,Этап №0,Демонтаж,Полы,м2,266.00
"Демонтаж НЕ приклеенной фанеры, оргалита",0-47,Этап №0,Демонтаж,Полы,м2,69.00
Демонтаж керамической плитки и плиточного клея,0-48,Этап №0,Демонтаж,Полы,м2,252.00
"Демонтаж порожка (пластик, метал)",0-49,Этап №0,Демонтаж,Полы,м.пог.,53.00
Демонтаж теплого пола (водяного),0-50,Этап №0,Демонтаж,Полы,м2,315.00
Демонтаж цементной стяжки до 5 см.,0-51,Этап №0,Демонтаж,Полы,м2,230.00
Демонтаж цементной стяжки до 10 см.,0-52,Этап №0,Демонтаж,Полы,м2,280.00
Демонтаж армированного бетонного основания сантехкабины,0-53,Этап №0,Демонтаж,Полы,м2,1191.00
Демонтаж бетонного бортика поддона,0-54,Этап №0,Демонтаж,Полы,м.пог,424.00
"Демонтаж короба для труб водоснабжения, канализации",0-55,Этап №0,Демонтаж,Полы,м.пог,125.00
"Очистка стяжки от остатков клея, мастики методом шлифования алмазной чашкой",0-56,Этап №0,Демонтаж,Полы,м2,203.00
Демонтаж пластиковой душевой кабины,0-57,Этап №0,Демонтаж,Сантехника,шт.,1125.00
Демонтаж душевой кабины в строительном исполнении,0-58,Этап №0,Демонтаж,Сантехника,шт.,1603.00
Демонтаж душевого подиума (строительного исполнения),0-59,Этап №0,Демонтаж,Сантехника,шт.,2060.00
"Демонтаж пластиковой душевой кабины с джакузи, гидромассажем/парогенератором",0-60,Этап №0,Демонтаж,Сантехника,шт.,1852.00
Демонтаж поддона чугунного/металлического/акрилового,0-61,Этап №0,Демонтаж,Сантехника,шт.,635.00
Демонтаж (отключение) стиральной/сушильной машины,0-62,Этап №0,Демонтаж,Сантехника,шт.,300.00
Расчистка стояка отопления от старой краски,0-63,Этап №0,Демонтаж,Сантехника,шт.,376.00
"Демонтаж подиума для поддона (кирпич, бетон)",0-64,Этап №0,Демонтаж,Сантехника,шт.,1125.00
Демонтаж ванны чугунной (с выносом к входной двери),0-65,Этап №0,Демонтаж,Сантехника,шт.,1571.00
"Демонтаж ванны стальной, акриловой",0-66,Этап №0,Демонтаж,Сантехника,шт.,1132.00
"Демонтаж экрана ванны (кафель, кирпич/пеноблок)",0-67,Этап №0,Демонтаж,Сантехника,шт.,675.00
Демонтаж экрана под ванной (пластик),0-68,Этап №0,Демонтаж,Сантехника,шт.,203.00
Демонтаж обвязки ванны (старого образца чугун-метал),0-69,Этап №0,Демонтаж,Сантехника,шт.,424.00
Демонтаж обвязки ванны (нового образца),0-70,Этап №0,Демонтаж,Сантехника,шт.,238.00
Демонтаж штанги для душа,0-71,Этап №0,Демонтаж,Сантехника,шт.,159.00
"Демонтаж сантехнических аксессуаров (мыльница, держатель бумаги и т.д.)",0-72,Этап №0,Демонтаж,Сантехника,шт.,68.00
Демонтаж унитаза,0-73,Этап №0,Демонтаж,Сантехника,шт.,500.00
Демонтаж инсталляции (чаши с рамой и кнопкой),0-74,Этап №0,Демонтаж,Сантехника,шт.,1300.00
"Демонтаж труб водоснабжения, отопления",0-75,Этап №0,Демонтаж,Сантехника,м.пог,89.00
Демонтаж труб канализации (чугун),0-76,Этап №0,Демонтаж,Сантехника,м.пог,318.00
Демонтаж труб канализации (пластик),0-77,Этап №0,Демонтаж,Сантехника,м.пог,122.00
Демонтаж коллектора (гребенки),0-78,Этап №0,Демонтаж,Сантехника,шт.,355.00
Демонтаж бойлера,0-79,Этап №0,Демонтаж,Сантехника,шт.,590.00
Демонтаж смесителя на жёсткой подводке,0-80,Этап №0,Демонтаж,Сантехника,шт.,291.00
Демонтаж смесителя  на гибкой подводке,0-81,Этап №0,Демонтаж,Сантехника,шт.,220.00
Демонтаж кухонной мойки (без смесителя),0-82,Этап №0,Демонтаж,Сантехника,шт.,305.00
Демонтаж подстолья кухонной мойки,0-83,Этап №0,Демонтаж,Сантехника,шт.,293.00
Демонтаж мойки на кронштейнах,0-84,Этап №0,Демонтаж,Сантехника,шт.,315.00
Демонтаж раковины типа «тюльпан» (в сборе),0-85,Этап №0,Демонтаж,Сантехника,шт.,495.00
Демонтаж «Мойдодыра» (в сборе),0-86,Этап №0,Демонтаж,Сантехника,шт.,545.00
Демонтаж сифона мойки,0-87,Этап №0,Демонтаж,Сантехника,шт.,133.00
Демонтаж радиатора на металлических трубах (при наличие вводных кранов),0-88,Этап №0,Демонтаж,Сантехника,шт.,800.00
"Демонтаж регулятора давления, обратного клапана",0-89,Этап №0,Демонтаж,Сантехника,шт.,185.00
Демонтаж коллектора (гребенки),0-90,Этап №0,Демонтаж,Сантехника,шт.,355.00
Демонтаж полотенцесушителя водяного/электрического,0-91,Этап №0,Демонтаж,Сантехника,ед,445.00
Демонтаж радиатора на пластиковых трубах для отделочных работ,0-92,Этап №0,Демонтаж,Сантехника,шт.,250.00
"Демонтаж электроустановочного изделия (розетка, выключатель, распаячная коробка)",0-93,Этап №0,Демонтаж,Электрика,шт.,68.00
"Демонтаж накладной части розетки, выключателя",0-94,Этап №0,Демонтаж,Электрика,шт.,36.00
Демонтаж скрытой проводки (до 16мм),0-95,Этап №0,Демонтаж,Электрика,м.пог,45.00
Демонтаж открытой проводки (до 16мм),0-96,Этап №0,Демонтаж,Электрика,м.пог,16.00
Демонтаж светильников встроенных (без сохранения),0-97,Этап №0,Демонтаж,Электрика,шт.,90.00
Демонтаж кабель-канала,0-98,Этап №0,Демонтаж,Электрика,м.пог,28.00
Демонтаж автомата защиты,0-99,Этап №0,Демонтаж,Электрика,шт.,116.00
"Демонтаж люстры, светильника, вентилятора (с сохранением изделия)",0-100,Этап №0,Демонтаж,Электрика,шт.,318.00
